title,location,Price,category
Saj House,Ajloun,24,"['Sandwiches ', 'Shawarma & Doner']"
White Corner,‘Ayn Amūn,81,"['Arabic', 'Desserts']"
Fitely,Dana,95,['Speciality Store']
Mashawi Abo Abdo,Ash Shumaysānī,58,['Grills']
Ajban Haneen,Amman,60,['Speciality Store']
Mr. Burritos,Al Kafrayn,74,"['Burgers', 'Mexican']"
Kan Zman,‘Ayn Amūn,32,"['Arabic', 'Falafel', 'Sandwiches ']"
Mashawi Zahrat Al Nakheel,Ad Dimnah,22,['Grills']
Burqin Pastries,‘Ayn Amūn,75,"['Jordanian', 'Pastries']"
Food Mahshi,Umm Qays,60,['Arabic']
Enjoy Plus,Al Burj,89,"['Speciality Store', 'Pastries & Sweets']"
Printc Coffee,At-Tafilah,13,"['Desserts', 'Beverages', 'Crepes and Waffles']"
Chicky,Shūnat Nimrīn,76,"['American', 'Fast Food', 'Fried Chicken']"
Auntie's Bakery,‘Ayn Amūn,60,"['Desserts', 'Bakery and Cakes']"
Al Baraka Supermarket,Irbid,44,"['Grocery ', 'Supermarket']"
House Of Curry,Ţāb Kirā‘,67,"['Indian', 'International', 'Asian']"
Saraya Abdeen Restaurant,At-Tafilah,35,['Breakfast']
Poultry World,Kufayrāt Abū Khīnan,25,"['Speciality Store', 'Fresh Meat & Fish']"
manoushe Beirutieh,Al Ḩayy,53,"['Pastries', 'Jordanian']"
Pin A Book,Wadi Musa,25,['Beverages']
Flavours of India,Abū al Lasan,26,['Indian']
Al Hamadani,Al Azraq ash Shamālī,80,"['Arabic', 'Desserts', 'Jordanian']"
Al Faris,Ma‘ān,70,"['Shawarma & Doner', 'Snacks']"
Bora Bora,Irbid,29,"['Crepes and Waffles', 'Juices']"
BBQ Lovers,Sowayma,93,"['Grills', 'Burgers']"
Alban Bab Al Madinah,Al Quwayrah,75,['Speciality Store']
Lubna Kitchen,Umm Uthainah,54,"['Arabic', 'Mandi', 'Jordanian']"
Chicken Bites,Māḩiş,83,"['Fried Chicken', 'Sandwiches ']"
2 Friends,Shūnat Nimrīn,50,"['Burgers', 'Grills']"
Akash Mr Falafel,Umm Uthainah,63,"['Arabic', 'Falafel', 'Sandwiches ']"
Al Nasim Restaurant,Amman,32,"['Shawarma & Doner', 'Sandwiches ', 'Fried Chicken']"
Nawaret Al Sabe3 Kitchen,Al Azraq ash Shamālī,91,['Grills']
Al-Shareef Mobile Accessories,Umm al Kundum,42,['Speciality Store']
Abu Staif Restaurant,Irbid,86,"['Arabic', 'Falafel']"
Low Carb Salad,Aqaba,38,"['Salads', 'Beverages', 'Healthy']"
Al Karma Kitchen,"Abdoun, Amman",70,"['Arabic', 'Beverages', 'Lebanese']"
Zamzam Sweets,Shūnat Nimrīn,67,['Desserts']
Za3fran O Hel,Wadi Musa,96,['Juices']
Philly Me,Aqaba,86,"['Sandwiches ', 'American']"
Layali Lebnan Snack,Umm Uthainah,35,"['Sandwiches ', 'Shawarma & Doner']"
Falafel Shiltawi & Nasir,Kufayrāt Abū Khīnan,92,['Falafel']
Dr. Wafflez & Crepe,Al Azraq ash Shamālī,24,['Desserts']
Ghaya Restaurant,"Abdoun, Amman",22,"['Shawarma & Doner', 'Sandwiches ', 'Burgers']"
Abu Jawad Butchery & Grills,Amman,80,"['Grills', 'Healthy', 'Snacks']"
TOFFIMELT,Ad Dimnah,94,"['Arabic', 'Desserts']"
Golden Crepe,Ţāb Kirā‘,62,"['Crepes and Waffles', 'Juices']"
Gourmet Deli,Umm Qays,38,"['Sandwiches ', 'American']"
Pyramids Restaurant,Ma‘ān,32,"['Egyptian', 'Arabic']"
Jubran Eats,Madaba,33,"['International', 'Lebanese', 'Grills']"
Anees Zahdeh Restaurant,Al Ḩayy,35,"['Arabic', 'Grills', 'Lebanese']"
Popeyes,Aţ Ţayyibah,42,"['Sandwiches ', 'Fast Food']"
Al Sharq,Al Azraq ash Shamālī,29,"['Arabic', 'Fried Chicken', 'Grills']"
Joud Al Khair Butchery,Māḩiş,89,"['Speciality Store', 'Fresh Meat & Fish']"
Zarzour Restaurant,Bayyūḑah,79,"['Arabic', 'Grills']"
Sprink,Al Khuraybah,32,['Desserts']
Tent Al Badawiya Coffee,Ash Shūnah ash Shamālīyah,74,"['Speciality Store', 'Coffee & Tea']"
"Amman Al Kubra Restaurants, Al Muqabalain",Amman,69,"['Grills', 'Lebanese', 'Jordanian']"
Muhames W Matahen Al Naser,Amman,67,"['Speciality Store', 'Nuts & Dried Fruit']"
Al Araqa Sweets,Ajloun,27,['Desserts']
Nashama Al Ordon,‘Ayn Amūn,51,"['Shawarma & Doner', 'Sandwiches ', 'Fast Food']"
Shawerma Hamdan,Wadi Rum,49,"['Sandwiches ', 'Shawarma & Doner']"
Hermeez Coffee House,Aqaba,61,"['Beverages', 'Jordanian']"
Qaddourah,"Abdoun, Amman",71,"['Juices', 'Crepes and Waffles']"
"In The mix, 3rd Circle",Al Ḩayy,13,"['Juices', 'Desserts']"
B Coffee Cream,Umm al Kundum,70,"['Beverages', 'Crepes and Waffles', 'Desserts']"
Bayt AlRomman,Al Khuraybah,29,"['Beverages', 'Juices', 'Fruit Salads', 'Healthy']"
Mohannad Flowers & Balloons,Ash Shūnah ash Shamālīyah,29,['Flowers']
AlQadamani Roastery,Ash Shumaysānī,92,"['Speciality Store', 'Nuts & Dried Fruit']"
Markaz Alyam Walghad,Al Kafrayn,27,"['Speciality Store', 'Fresh Meat & Fish']"
Jude Lounge,Umm Uthainah,13,"['American', 'Healthy', 'Sandwiches ']"
Turkish Pide,Shūnat Nimrīn,42,"['Turkish', 'Jordanian', 'International']"
Megafit For Life,Sowayma,60,"['American', 'Healthy', 'Vegetarian']"
Rawan Cuisine,Umm Uthainah,51,"['Arabic', 'International', 'Jordanian']"
Koshari Al Helow,Ash Shumaysānī,39,"['Arabic', 'Egyptian']"
Central Beach Fishery,At-Tafilah,20,"['Speciality Store', 'Fresh Meat & Fish']"
Bun Meats Dough,Madaba,21,"['American', 'Burgers', 'Desserts']"
Mashawi Ezo,Ajloun,22,"['Grills', 'Sandwiches ']"
Army Burger,Ma‘ān,55,"['Burgers', 'International', 'Sandwiches ']"
"Amman Al Kubra Restaurants, Al Muqabalain",Amman,43,"['Grills', 'Lebanese', 'Jordanian']"
Koi,Al Azraq ash Shamālī,58,"['Asian', 'Healthy', 'Seafood']"
Malhamet Abu Mouhammad,Al Kafrayn,26,"['Speciality Store', 'Fresh Meat & Fish']"
Afran,‘Ayn Amūn,89,"['Arabic', 'Lebanese']"
Vox's Supermarket,At-Tafilah,89,"['Grocery ', 'Supermarket']"
Nour Al Hana Pizza,Al Azraq ash Shamālī,33,"['Manaqeesh', 'Pastries', 'Pizza']"
Foul W Nan3,Aqaba,34,"['Breakfast', 'Falafel', 'Arabic']"
Sameh Mall,Ad Dimnah,11,"['Grocery ', 'Hypermarket']"
Malik Al Zain,Madaba,26,"['Shawarma & Doner', 'Snacks', 'Sandwiches ']"
Pizza Nina,Al Burj,44,"['Italian', 'Pizza']"
Paris Restaurant,Aţ Ţayyibah,76,"['Desserts', 'Crepes and Waffles']"
Al Masri Hardware Stores,Madaba,74,['Speciality Store']
Alam Almoajannat Alshameyyeh,‘Ayn Amūn,71,"['Arabic', 'Breakfast', 'Pastries']"
Salwa w Fairouz,Kerak,93,"['Arabic', 'Manaqeesh', 'Pizza']"
Make a Wish 11:11,Umm al Kundum,85,"['Italian', 'Pastries', 'Pizza']"
Chicken Hut,Wadi Musa,69,"['Sandwiches ', 'Shawarma & Doner', 'Snacks']"
Shaki Burger,Ad Dimnah,98,"['American', 'Burgers', 'Shawarma & Doner', 'Snacks', 'Sandwiches ']"
Aloo Shawarma,Ash Shūnah ash Shamālīyah,50,"['Fast Food', 'Shawarma & Doner', 'Sandwiches ']"
Streats,Ad Dimnah,16,"['American', 'Burgers', 'Jordanian']"
Military Consumer Establishment,Al Ḩayy,64,"['Grocery ', 'Supermarket']"
Falafel & oven Refe,Aţ Ţayyibah,57,['Falafel']
Code Five,"Abdoun, Amman",76,"['American', 'Burgers', 'Fast Food']"
Tandoori Oven,Al Maşţabah,90,['Indian']
Turath Amman Restaurant,Irbid,85,"['Arabic', 'Yemeni', 'Mandi']"
Indu,Bayyūḑah,61,"['Indian', 'International', 'Asian']"
Koukh Al Rabyeh Lel tawasi,Kufayrāt Abū Khīnan,50,"['Arabic', 'Yemeni', 'Mandi']"
Chaos Coffee House,Umm Uthainah,90,['Beverages']
Abu hoseh,Sowayma,59,"['Burgers', 'Shawarma & Doner', 'Snacks']"
Al Emlaq,Al Azraq ash Shamālī,35,['Speciality Store']
Amer House,Madaba,32,['Burgers']
Abo Mahmoud Cafeteria Alshbab,Al Qasţal,62,"['Fast Food', 'Shawarma & Doner', 'Sandwiches ']"
adore & more,Māḩiş,92,"['Desserts', 'Bakery and Cakes']"
Helsinki Burger,Al Azraq ash Shamālī,47,"['Burgers', 'Wings', 'American']"
Batonia Grills,Ash Shūnah ash Shamālīyah,42,['Grills']
Faidy Man8esh O Pizza,Al Rama,62,"['Pizza', 'Breakfast', 'Pastries']"
Hijazi for Vegetables and  Fruits,Ad Dimnah,12,"['Speciality Store', 'Fruits & Vegetables']"
Lulu Bubbles & Waffle,Wadi Musa,55,"['Beverages', 'Crepes and Waffles']"
Shawerma Al Khal,Ţāb Kirā‘,54,['Shawarma & Doner']
Pizza Kiwan,Al Quwayrah,53,"['Pastries', 'Pizza', 'Sandwiches ']"
Medal Pizza,Al Azraq ash Shamālī,56,"['Italian', 'Pizza']"
Nawaret Al Sabe3 le Al Mo3ajanat,Ash Shumaysānī,34,['Pizza']
Pistachio,Māḩiş,94,['Desserts']
Kenanoo Snackoo,Al Quwayrah,13,"['Sandwiches ', 'Shawarma & Doner', 'Snacks']"
Mamonieh Deserts,Al Maşţabah,57,['Desserts']
Cake & Coffee,Irbid,51,"['Crepes and Waffles', 'Desserts']"
Ronin,‘Ayn Amūn,70,"['International', 'Italian', 'Japanese']"
Shawarma Faris,Al Qasţal,17,"['Sandwiches ', 'Shawarma & Doner']"
Dens Shawrma,Jerash,24,"['Arabic', 'Shawarma & Doner']"
Nar jeel,Jerash,25,"['Sandwiches ', 'Shawarma & Doner', 'Snacks']"
Ayoubi,Abū al Lasan,75,"['Arabic', 'Breakfast', 'Yemeni']"
Treats by ruby,Al Azraq ash Shamālī,34,['Desserts']
Vanilla Kitchen ,Ash Shūnah ash Shamālīyah,91,"['Arabic', 'Desserts', 'Pastries']"
ARGON,Bayyūḑah,42,"['Pizza', 'Snacks', 'Fast Food']"
Golden Sandwich,Amman,78,"['Breakfast', 'Salads', 'Sandwiches ']"
Fruits House,Al Quwayrah,81,"['Crepes and Waffles', 'Juices']"
Vanillia Cake,Umm Qays,69,['Desserts']
Master Waffle & Crepe,Al Maşţabah,20,['Desserts']
Zinger Snack & Broasted,Amman,11,"['Fried Chicken', 'Snacks', 'Sandwiches ']"
Khairat Al Haramen Mashawe,Kufayrāt Abū Khīnan,98,['Grills']
Al-Ranneh,Kerak,29,['Shawarma & Doner']
Maestro Burger And Grill,Al Maşţabah,68,"['Burgers', 'Snacks']"
Rio,Al Khuraybah,15,"['Shawarma & Doner', 'Snacks']"
Dough & Straw,Umm al Kundum,93,"['Crepes and Waffles', 'Desserts']"
Jazar W Batata,Wadi Musa,66,"['Shawarma & Doner', 'Burgers', 'Juices', 'Fried Chicken']"
Salama Restaurant,Umm Qays,62,"['Shawarma & Doner', 'Fried Chicken']"
Dokan Ward,Ad Dimnah,38,['Flowers']
Bellariva,Wadi Rum,88,"['Pizza', 'Salads', 'Sandwiches ']"
"Al Fawal, Ras El Ain",Wadi Musa,36,"['Breakfast', 'Falafel']"
Shawarma House,Al Khuraybah,26,"['Shawarma & Doner', 'Sandwiches ', 'Jordanian']"
Hamwi Sweets,Ajloun,93,"['Arabic', 'Desserts']"
Golden Crepe,Al Azraq ash Shamālī,69,"['Crepes and Waffles', 'Juices']"
Roastery And Coffee Al Hafeed,Umm Uthainah,82,"['Speciality Store', 'Nuts & Dried Fruit']"
La Bella Torta,Shūnat Nimrīn,94,['Desserts']
Haram Al Wali,Al Khuraybah,12,"['Shawarma & Doner', 'Fried Chicken', 'Grills']"
Happy Dose,Kerak,90,"['Juices', 'Desserts']"
BAIT AL ZATAR MILLS,Al Ḩayy,70,"['Speciality Store', 'Nuts & Dried Fruit']"
Coffee Bean,Al Maşţabah,60,"['American', 'Desserts']"
Om AlSoumaq Bakery,Al Rama,93,"['Speciality Store', 'Bread & Bakery']"
Crumz,Al Ḩayy,59,"['Breakfast', 'Burgers', 'Pastries', 'Pizza', 'Sandwiches ', 'Bread & Bakery']"
Dr. Foul,Al Quwayrah,12,"['Arabic', 'Breakfast']"
Musakhan Talat Al Jandaweel,Amman,13,"['Arabic', 'Pastries', 'Jordanian']"
Khaltet Al Fawal Al Jama'a,Umm Qays,50,"['Arabic', 'Falafel', 'Sandwiches ']"
Bizantino Coffee & Roaster,Sowayma,41,"['Desserts', 'Roastery']"
Wellness Way Acai,"Abdoun, Amman",39,['American']
Shawerma Abu Jaber,Az Zarqa,18,"['Fast Food', 'Shawarma & Doner', 'Sandwiches ']"
Lavie,Al Ḩayy,56,"['Beverages', 'Crepes and Waffles', 'Pizza']"
OhMyKajo,Irbid,51,['Speciality Store']
Bahar W Khardal,Al Burj,54,"['Hot Dogs', 'Fast Food']"
Koba o Man8osheh,Al Qasţal,78,['Pastries']
Broasted AlMidan,Aqaba,16,"['Fast Food', 'Fried Chicken']"
Qasmieh Al Fawwal,Ad Dimnah,72,"['Jordanian', 'Arabic', 'Sandwiches ']"
Halapeno's,Al Maşţabah,44,"['Burgers', 'Snacks', 'Jordanian']"
Fatoom`s Kitchen,Ash Shūnah ash Shamālīyah,30,"['Arabic', 'Grills', 'Jordanian']"
Art Classes,Al Burj,75,['Speciality Store']
Taheen W Ajeen Lelmakhbozat,Umm al Kundum,58,"['Pastries', 'Bakery and Cakes']"
Zahret Al Sultan,Al Quwayrah,28,['Arabic']
Al Radwan Popular Market,‘Ayn Amūn,16,"['Speciality Store', 'Fruits & Vegetables']"
Shabab Al Aqsa,Aţ Ţayyibah,18,"['Arabic', 'Burgers', 'Sandwiches ']"
Mazaj Cocktail,Irbid,93,"['Sandwiches ', 'Juices', 'Healthy']"
Max Snack,Umm Qays,76,"['Sandwiches ', 'Fast Food', 'Snacks']"
Pizza Al Wali,Dana,21,"['Pizza', 'Fried Chicken', 'Pasta']"
Shamshoun Broasted,Ash Shūnah ash Shamālīyah,32,"['Fried Chicken', 'Snacks', 'Fast Food']"
DipIt,Ţāb Kirā‘,40,"['Desserts', 'Crepes and Waffles']"
Note Mobile,‘Ayn Amūn,97,['Speciality Store']
Salad Jar,Bayyūḑah,98,['Salads']
chef nasser abu nameh,Ajloun,77,"['Arabic', 'Mandi', 'Jordanian']"
ALBarqawi Pastries,Ad Dimnah,61,['Pastries']
Shawarma 4 Chicks,"Abdoun, Amman",46,"['Arabic', 'Shawarma & Doner', 'Sandwiches ']"
Al Basha Turkish,Ajloun,53,"['Shawarma & Doner', 'Breakfast', 'Burgers']"
Samer Restaurant,Bayyūḑah,99,"['Arabic', 'Falafel', 'Sandwiches ']"
Blue Fig Crusts,‘Ayn Amūn,93,"['Bakery and Cakes', 'Desserts']"
Geshta w Mooz,Al Azraq ash Shamālī,30,['Juices']
Malhamet Aljizawe,Kufayrāt Abū Khīnan,86,"['Speciality Store', 'Fresh Meat & Fish']"
Lebanese Pastries,Māḩiş,58,['Manaqeesh']
3Dots Market & Cafe,Ma‘ān,66,['Juices']
HOMMIES,Wadi Musa,94,"['Shawarma & Doner', 'Sandwiches ']"
Saraya Abdeen Restaurant,Al Kafrayn,23,['Breakfast']
Kenzi Grill,Al Burj,37,['Grills']
Robo3 Al Mamlakeh Butchery,Kerak,11,"['Speciality Store', 'Fresh Meat & Fish']"
Restaurant Al-Hajj Reda Al-Shiltawi Al-Yasmeen,Kerak,93,['Falafel']
Ward Fruits And Vegetables,Ash Shūnah ash Shamālīyah,52,"['Speciality Store', 'Fruits & Vegetables']"
Lozan,Umm Uthainah,36,"['Fried Chicken', 'Grills']"
Alquds Restaurant,At-Tafilah,97,"['Arabic', 'Breakfast']"
TOFFIMELT,Al Burj,60,"['Arabic', 'Desserts']"
Qalb Lnar,Al Azraq ash Shamālī,60,"['Manaqeesh', 'Pizza', 'Breakfast', 'Fast Food']"
Awraq Al Khareef,Al Ḩayy,12,"['Shawarma & Doner', 'Snacks']"
Joud Snacks,Al Rama,96,['Sandwiches ']
Haram Al Wali,Bayyūḑah,90,"['Shawarma & Doner', 'Fried Chicken', 'Grills']"
Queen Burger,Al Burj,97,"['American', 'Burgers', 'Sandwiches ']"
Cuts Restaurant,Aqaba,96,"['Burgers', 'Hot Dogs', 'Sandwiches ']"
Sin w Romoh,Sowayma,17,"['Shawarma & Doner', 'Arabic']"
Q Burger,Ad Dimnah,59,"['American', 'Burgers']"
Dunia Amman,Wadi Musa,50,"['International', 'Salads']"
Shawrma and snacks Palestine,Bayyūḑah,33,"['Shawarma & Doner', 'Snacks']"
Biryani Bowl,Az Zarqa,85,"['Arabic', 'Beverages']"
Bubbly Gifts,Umm Uthainah,12,['Flowers']
Mood Burger,Kufayrāt Abū Khīnan,72,"['American', 'Burgers', 'International']"
Kol W Thana Restaurant,Shūnat Nimrīn,60,['Shawarma & Doner']
Qasab City Center,Al Quwayrah,27,"['Jordanian', 'Juices']"
Ikura,Az Zarqa,69,"['Sushi', 'Asian', 'Japanese']"
Le Gemelle,Umm al Kundum,53,"['Italian', 'Salads', 'Jordanian']"
Al Hati Grill & Pizza,Bayyūḑah,73,"['Grills', 'Pastries', 'Pizza']"
ID Mobile,Al Azraq ash Shamālī,18,['Speciality Store']
30 Street Snack,Umm Qays,98,['Shawarma & Doner']
Hassan Pastries,Bayyūḑah,18,"['Pastries', 'Pizza']"
"Haswa Market for vegetables and fruits, Gardens",Ajloun,96,"['Speciality Store', 'Fruits & Vegetables']"
Zalloum Spices,Madaba,40,"['Speciality Store', 'Nuts & Dried Fruit']"
Broasted Ahl Alkheir,Ad Dimnah,36,"['Fried Chicken', 'Grills']"
Al Araab Demashqi Sweets,Al Kafrayn,79,['Desserts']
Bobaco Bubble Tea,Al Azraq ash Shamālī,58,['Beverages']
Biryani Box,Ţāb Kirā‘,15,"['Arabic', 'Grills', 'Seafood']"
Al Munira Restaurant,Sowayma,79,"['Sandwiches ', 'Desserts', 'Shawarma & Doner']"
AlBarha Restaurant,Māḩiş,46,['Shawarma & Doner']
AlGhasaq Kunafeh & Sweets,Kerak,52,['Desserts']
dough hut,Aţ Ţayyibah,50,"['Pastries', 'Pizza']"
Al Khalil Butchery,Ash Shumaysānī,81,"['Speciality Store', 'Fresh Meat & Fish']"
The Chocolate Fondant,Umm Qays,67,"['Desserts', 'French', 'American']"
Zarb Rawabi Al Yasmeen,At-Tafilah,94,['Arabic']
Shawarma Al Asaleh,Madaba,59,"['Arabic', 'Shawarma & Doner', 'Snacks']"
Ka3kosheh,Ash Shumaysānī,67,"['Pastries', 'Pizza']"
Tandoori Oven,Sowayma,52,['Indian']
Basmet Al Sharq Hummus,Abū al Lasan,18,['Breakfast']
Krafs,Al Qasţal,59,"['Pizza', 'Manaqeesh', 'Pasta']"
Halapeno's,Kufayrāt Abū Khīnan,84,"['Burgers', 'Snacks', 'Jordanian']"
Safiha & Manoucheh,Az Zarqa,26,"['Arabic', 'Breakfast', 'Pastries']"
JollyMan Food Co,Amman,58,"['American', 'Hot Dogs', 'Sandwiches ']"
Meat House Butchery,Wadi Musa,39,"['Speciality Store', 'Fresh Meat & Fish']"
Mix Juice,Umm Qays,85,"['Crepes and Waffles', 'Desserts']"
4 Cats Super Market,Ash Shūnah ash Shamālīyah,80,"['Grocery ', 'Supermarket']"
Al Rashed Restaurant,Irbid,47,"['Falafel', 'Sandwiches ', 'Arabic']"
Om Al Banat,Wadi Musa,67,"['Arabic', 'Healthy', 'International']"
Abu Ahmed Sheikho Pastries,Kufayrāt Abū Khīnan,43,"['Arabic', 'Pastries', 'Pizza']"
Crepson,Shūnat Nimrīn,58,"['Desserts', 'Crepes and Waffles']"
REN CHAI,Madaba,12,['Chinese']
Mattaem Jarrah w nar,Shūnat Nimrīn,52,"['Shawarma & Doner', 'Burgers', 'Falafel']"
Zahrat Dabouq Restaurant,Aqaba,51,"['Grills', 'Arabic']"
chef nasser abu nameh,Jerash,22,"['Arabic', 'Mandi', 'Jordanian']"
Sho Laziz,Jerash,62,"['Sandwiches ', 'Arabic', 'Shawarma & Doner']"
Hashem Restaurant,Māḩiş,81,"['Falafel', 'Breakfast']"
Moajanat Al Hassan,Umm Qays,53,['Pastries']
Kitchenette,Ad Dimnah,54,"['Healthy', 'International', 'Arabic', 'Chinese']"
Bonica Bakery,Umm Qays,69,['Desserts']
Zohoor Al Jabal,Bayyūḑah,85,"['Arabic', 'Grills', 'Shawarma & Doner']"
Tawook Republic,Māḩiş,62,"['Grills', 'Sandwiches ']"
Tashwiha,Al Burj,97,"['Burgers', 'Shawarma & Doner', 'Sandwiches ']"
Mandi Station,Al Khuraybah,85,"['Arabic', 'Mandi']"
MOM Restaurant,Ash Shumaysānī,76,"['Sandwiches ', 'Mandi', 'Snacks']"
Zaydoon Honey,Māḩiş,31,['Speciality Store']
Tawahen Al Salt,‘Ayn Amūn,60,"['Arabic', 'Sandwiches ', 'Yemeni']"
Macros,At-Tafilah,35,['Healthy']
Lana Link Mobile,Dana,16,['Speciality Store']
Aljoude Hotel,Ma‘ān,56,"['International', 'Italian', 'Pizza']"
Massaya Flowers Shop,Amman,12,['Flowers']
DIKEN BIKE`S ACCESSORIES,‘Ayn Amūn,45,['Speciality Store']
Moajanat Al Eman AlShamia,Kerak,61,['Pastries']
Bab Al Hara Pastries,Ash Shumaysānī,72,"['Arabic', 'Breakfast', 'Pastries']"
Koukh Al Shawerma,Dana,32,"['Shawarma & Doner', 'Fried Chicken', 'Grills']"
May And Fay Restaurant,Al Ḩayy,61,"['Sandwiches ', 'Fast Food']"
Zafran,Kerak,83,"['Arabic', 'Grills', 'Shawarma & Doner']"
Professional Shawerma,Kufayrāt Abū Khīnan,53,"['Arabic', 'Shawarma & Doner', 'Jordanian']"
Fan w Bun,Al Ḩayy,24,"['Beverages', 'Crepes and Waffles']"
Khan Beirut,Kufayrāt Abū Khīnan,89,"['Lebanese', 'Arabic']"
Al-Hezam Al-Harari,Bayyūḑah,79,['Speciality Store']
Lee's,Al Burj,90,['Sandwiches ']
Heroes Burgers & Wings aqaba,Ash Shumaysānī,19,"['Burgers', 'Snacks']"
Dukkan Alhay,Al Khuraybah,16,"['Grocery ', 'Supermarket']"
Eat Fit,Amman,16,"['Healthy', 'Desserts']"
Mashawi Antar,"Abdoun, Amman",19,"['Sandwiches ', 'Grills']"
Khan Zaid,Al Maşţabah,59,['Shawarma & Doner']
French Fries Love,Māḩiş,98,['Fast Food']
Al Aman Fund,Az Zarqa,89,['Charity']
Pasta Rose,Umm Uthainah,54,"['Pasta', 'Italian']"
Gimoka,Wadi Rum,37,['Beverages']
Coffee Factory,Al Ḩayy,83,"['Beverages', 'Desserts']"
Zahrat Um Al Somaq Butchery,Umm al Kundum,59,"['Speciality Store', 'Fresh Meat & Fish']"
Bawbet Amman,Amman,58,['Grocery ']
Kagutsushi,Madaba,90,"['Japanese', 'International']"
Saisban Bakery & Pizza,Ash Shumaysānī,52,"['Pastries', 'Pizza', 'Breakfast', 'Manaqeesh']"
"Ahel Al Khair, Dahyet Al Rashid",Bayyūḑah,89,"['Burgers', 'Shawarma & Doner', 'Mandi']"
Donuttery.,‘Ayn Amūn,48,"['Donuts', 'Desserts']"
Choco Cheese,Wadi Musa,33,['Desserts']
Vivid,Al Khuraybah,11,"['International', 'Healthy']"
Asil El Fakhar,Bayyūḑah,91,"['Arabic', 'Breakfast', 'Turkish']"
Zait And Zatar Restaurant,Az Zarqa,62,"['Arabic', 'Jordanian']"
Delal ALZyzafon,Az Zarqa,78,['Arabic']
Moajnat Atyab Khobzeh,Kerak,69,"['Pastries', 'Pizza', 'Sandwiches ']"
Snack Titan,Amman,84,"['Snacks', 'Burgers']"
Sujo2 dose,Umm Uthainah,87,"['Fast Food', 'Saj', 'Sandwiches ']"
Alsayyad Grills,Irbid,12,"['Arabic', 'Grills', 'Lebanese']"
Professional Shawarma,Kerak,65,"['Shawarma & Doner', 'Sandwiches ', 'Fried Chicken']"
Shawarma Al Hareef,Ajloun,35,"['American', 'Shawarma & Doner', 'Sandwiches ']"
Maqali Eilatuna,Ash Shūnah ash Shamālīyah,79,"['Fast Food', 'Sandwiches ', 'Breakfast']"
Aswaq Abu Soud,Ash Shūnah ash Shamālīyah,15,"['Grocery ', 'Convenience Store']"
BarBar Sweets,Al Maşţabah,32,"['Desserts', 'Turkish', 'Jordanian']"
Koshary Man,Sowayma,45,['Egyptian']
Dar Aldawa,Ash Shūnah ash Shamālīyah,42,['Grocery ']
Khan Zaid,"Abdoun, Amman",53,['Shawarma & Doner']
The Cottage Sweet,Shūnat Nimrīn,83,"['Crepes and Waffles', 'Desserts', 'Juices']"
Hassan Snack,Ash Shūnah ash Shamālīyah,74,"['Sandwiches ', 'Shawarma & Doner', 'Snacks']"
Mega Hardware,Shūnat Nimrīn,78,['Speciality Store']
Dimashq Restaurant,Ma‘ān,41,"['Shawarma & Doner', 'Fried Chicken', 'Grills']"
Downtown Waffle & Crepe,Ajloun,24,"['Crepes and Waffles', 'Desserts']"
Rubu Al Hayi For Vegetables & Fruits,Al Khuraybah,11,"['Speciality Store', 'Fruits & Vegetables']"
BBQ,Al Ḩayy,62,"['Grills', 'Snacks', 'Burgers']"
Layal And Layla Restaurant Western And Eastern Foods,Ma‘ān,87,"['Arabic', 'Grills', 'Shawarma & Doner']"
Mo3janat Albasha,Ţāb Kirā‘,32,"['Pastries', 'Pizza']"
Rawabi al Rayan Grills,Ajloun,91,"['Grills', 'Salads', 'Sandwiches ']"
Terghalli,Ash Shumaysānī,35,"['Pizza', 'Italian', 'Pasta', 'Pastries']"
Kiraz Cafe,Al Maşţabah,36,"['Beverages', 'Crepes and Waffles', 'Desserts']"
Black Shop Mart,Al Quwayrah,22,"['Grocery ', 'Supermarket']"
Al Hanini dahyet alyasmeen,Madaba,23,"['Fried Chicken', 'Shawarma & Doner', 'Sandwiches ']"
Kobbeh w shish barak,Dana,35,"['Arabic', 'Grills', 'Lebanese']"
BBR Brisket & Ribs,Al Quwayrah,50,"['Burgers', 'International', 'American']"
CheeseCake Appetite,Kerak,35,"['American', 'Desserts']"
Bomb Burger,Ma‘ān,24,['Burgers']
Gelato,Ma‘ān,93,"['Desserts', 'Crepes and Waffles']"
Hadramout,Al Rama,63,"['Arabic', 'Yemeni']"
Steak & Potato,Umm Uthainah,40,['American']
Yellow Blaze Pizza,Az Zarqa,48,"['Italian', 'Pizza', 'Calzone']"
The Keto Hut,Umm al Kundum,75,"['Healthy', 'International', 'Salads']"
Jaleela Fried Chicken,At-Tafilah,41,"['American', 'Fried Chicken', 'Jordanian']"
Cookielisa,Ash Shūnah ash Shamālīyah,76,['Desserts']
City Phone,Shūnat Nimrīn,11,['Speciality Store']
Hatabtab Shawerma 3al Hatab,Jerash,64,"['Jordanian', 'Shawarma & Doner', 'Sandwiches ']"
Samers Oven,Ad Dimnah,66,"['Arabic', 'Pizza']"
Avenue Kitchen,Shūnat Nimrīn,57,"['Arabic', 'Indian']"
Kawtushuk,Kerak,44,['Desserts']
Mr.Candy,Al Burj,79,"['Desserts', 'Beverages']"
ELProfesor,Az Zarqa,47,"['Shawarma & Doner', 'Snacks', 'Burgers']"
Dairy and Daily,Madaba,22,['Speciality Store']
